PTT,DATE,TIME,LC,LAT1,LONG1
105294,2011/03/14,08:06:15,0,-45.1080,34.5250
105294,2011/03/14,10:23:45,0,-46.5090,35.3080
105294,2011/03/14,10:56:45,0,-46.6900,35.6650
105293,2011/03/14,07:25:22,0,-42.5560,35.4240
105293,2011/03/14,08:03:22,0,-42.1190,35.4250
105293,2011/03/14,10:23:52,0,-41.1380,35.4650
105293,2011/03/14,10:57:22,0,-40.9170,35.4480
105292,2011/03/14,07:26:10,0,-45.7070,33.9580
105292,2011/03/14,08:04:40,0,-45.5460,34.1860
105292,2011/03/14,10:24:10,0,-45.5070,34.2410
105292,2011/03/14,10:56:10,0,-45.4700,34.1060
105291,2011/03/14,07:25:00,0,-39.3190,34.0870
105291,2011/03/14,08:04:30,2,-39.3270,34.1120
105291,2011/03/14,10:22:00,0,-39.1850,34.1820
105291,2011/03/14,10:58:00,1,-39.1760,34.1730
105290,2011/03/14,07:25:31,Z,-46.5840,38.4240
105290,2011/03/14,08:06:01,0,-45.8460,38.4510
105290,2011/03/14,10:24:01,0,-44.7330,38.4890
105290,2011/03/14,10:58:01,0,-44.3390,38.5540
105297,2011/03/14,07:24:19,0,-38.5780,33.5860
105297,2011/03/14,08:04:49,1,-38.5560,33.9340
105297,2011/03/14,10:24:19,0,-39.3420,34.5570
105297,2011/03/14,10:56:49,0,-39.3560,34.6330
105296,2011/03/15,07:41:08,0,-42.2990,40.3510
105296,2011/03/15,10:10:51,0,-41.6800,40.3840
105296,2011/03/15,10:42:31,0,-41.6030,40.4210
105295,2011/03/15,07:04:20,0,-34.4600,25.6850
105295,2011/03/15,09:22:50,B,-34.7850,23.8580
105295,2011/03/15,10:15:50,B,-34.7270,24.3500
105295,2011/03/15,10:48:50,B,-34.8040,24.3900
105294,2011/03/15,07:05:46,0,-46.6590,38.6050
105294,2011/03/15,07:41:46,0,-46.6810,38.1460
105294,2011/03/15,10:10:46,0,-45.6300,38.3570
105293,2011/03/15,07:04:23,0,-39.3620,36.1880
105293,2011/03/15,07:41:22,0,-39.4880,36.1800
105293,2011/03/15,10:10:23,2,-39.3870,36.2190
105293,2011/03/15,10:43:13,0,-39.5770,36.2720
105292,2011/03/15,07:03:10,0,-42.7040,33.0560
105292,2011/03/15,07:41:23,0,-42.3150,33.0880
105292,2011/03/15,10:10:10,0,-41.2120,32.9760
105292,2011/03/15,10:44:40,0,-41.0560,33.0580
105291,2011/03/15,07:04:00,0,-31.4060,-2.5760
105291,2011/03/15,07:41:45,0,-38.5430,32.5390
105291,2011/03/15,10:11:00,0,-38.0060,32.4450
105291,2011/03/15,10:45:00,0,-38.0060,32.3790
105290,2011/03/15,10:10:02,1,-41.8070,41.8880
105290,2011/03/15,10:43:56,0,-41.9640,41.9440
105297,2011/03/15,07:05:50,0,-46.8050,37.8050
105297,2011/03/15,10:10:50,0,-45.5130,38.2120
105297,2011/03/15,10:43:35,0,-45.2710,38.2680
105296,2011/03/16,10:05:52,0,-41.1030,40.0080
105296,2011/03/16,10:33:52,0,-41.2810,40.0640
105295,2011/03/16,07:14:50,0,-34.6210,25.0430
105295,2011/03/16,08:15:50,B,-34.6300,25.1930
105295,2011/03/16,08:58:20,1,-34.7140,25.0860
105294,2011/03/16,10:06:02,0,-38.4110,38.4470
105294,2011/03/16,10:34:47,0,-38.3270,38.3250
105293,2011/03/16,07:14:53,B,-41.5510,35.9780
105293,2011/03/16,09:02:53,B,-37.2400,31.1990
105293,2011/03/16,10:07:23,A,-37.0170,30.6300
105293,2011/03/16,10:35:53,B,-36.9410,30.3940
105292,2011/03/16,07:20:10,0,-36.9770,31.9700
